title,author,musicType
全世界在你身后-C调简单版-一闪一闪亮星星ED,都智文,影视
小毛驴爬山坡-西班牙儿歌,未知,儿歌
早春二月-原创,郭俊华,原创
Shes All I Wanna Be-Tate McRae,Tate McRae,流行
Heat Waves-Glass Animals,Glass Animals,流行
下潜-完美好听版,川青,流行
愿你-原调简单版-愿你三冬暖愿你春不寒-抖音,黄静美,流行
春游-原创,耳朵长,原创
虹-完整好听版-哆啦A梦伴我同行2主题曲,菅田将晖,影视
Need to Know-Doja Cat,Doja Cat,流行
コネクト-羁绊-触手猴版-魔法少女小圆OP,ClariS,动漫
二月雪花飘-原创,耳朵长,原创
Angel Baby-Troye Sivan,Troye Sivan,流行
Симпа-简单版-辛巴巴巴鲁比拉-抖音,RaiM,流行
沉香-C调简单版-沉香如屑主题曲,张杰,影视
喀什噶尔胡杨-C调简单版,刀郎,流行
车尔尼599-011,车尔尼,经典
车尔尼599-012,车尔尼,经典
Letting Go-简单版-我终于舍得为你放开手因为爱你爱到我心痛,蔡健雅,流行
陪你奇奇怪怪陪你可可爱爱,爱朵女孩,流行
山路十八弯-C调简单版-李琼,李琼,流行
Bam Bam-Camila Cabello ft Ed Sheeran,Camila Cabello,流行
Bones-Imagine Dragons,Imagine Dragons,流行
Cold-一闪一闪亮星星插曲,萨吉,影视
星鱼-星鱼VR动画同名主题曲,周深,动漫
车尔尼599-013,车尔尼,经典
车尔尼599-014,车尔尼,经典
Ambitious World-赛马娘 Pretty Derby一周年特别动画ED,立花日菜,动漫
いつも何度でも-永远同在-Always With Me-轻快活泼版,木村弓,影视
我看过-简单版-我看过你说好一辈子-抖音,cici_,流行
春分-完美版,音阙诗听,流行
剑魂-汪苏泷,汪苏泷,流行
一个人喜欢一个人-余生请多指教ED,杨紫,影视
车尔尼599-015,车尔尼,经典
车尔尼599-016,车尔尼,流行
调查中-开端BGM歌词版,糯米Nomi,影视
车尔尼599-017,车尔尼,经典
车尔尼599-018,车尔尼,经典
光亮-紫禁城第六期余晖主题歌,周深,影视
天天想你-张雨生,张雨生,流行
人世间-完整版,雷佳,影视
我的未来不是梦-张雨生,张雨生,流行
车尔尼599-019,车尔尼,经典
车尔尼599-020,车尔尼,经典
LilaS-86-不存在的地域-主题曲,SawanoHiroyuki[nZk]:Honoka Takahashi,动漫
まつり-藤井风,藤井风,流行
无虞-周生如故概念曲,李紫婷,影视
孤独颂歌-那些孤独的人啊 夜晚是否还回家-抖音,陈文非,流行
永遠-永远-我的樱花恋人主题曲,Mr.Children,影视
那一年-汪苏泷,汪苏泷,流行
给你给我-一生一世插曲,毛不易,影视
情意结-简单版-你把玻璃放低请给我跪愿这便和你有新话题,陈慧娴,流行
Maniac-Stray Kids,Stray Kids,流行
Tsurumi Island-原神鹤观OST,HOYO-MIX,轻音乐
乘烟,兰音Reine,原创
爱丫爱丫-完整好听版-爱我的话给我回答我的爱丫爱丫没时差,BY2,流行
你的微笑-太多的幸福报到拼凑爱的美妙-抖音,F.I.R.,流行
あの夢をなぞって-描绘着那场梦,YOASOBI,流行
いつも何度でも-Always with Me-昼夜改编版,木村弓,影视
守るべき秩序-最终幻想纷争OST,石元丈晴,轻音乐
晚风心里吹-愿晚风将我吹 吹进你心内 晚灯映花正开,阿梨粤,流行
双葉-爱缪18祭-あいみょん,爱缪,流行
遠き呼び声の彼方へ-迪迦奥特曼插曲,矢野立美,影视
When You Are Gone-Shawn Mendes,Shawn Mendes,流行
兰亭序-原调简单版,周杰伦,流行
时间你慢些走-我说时间你慢些走 有些往事它在心头,范茹,流行
キョリ感-测不准的阿波连同学ED,ハコニワリリィ,动漫
清明-完美版,音阙诗听,流行
Love-Evidence-理科生坠入情网故尝试证明OP,雨宫天,动漫
Blue Bird-Vanillare,Vanillare,轻音乐
Bring Back-盾之勇者成名录第二期OP,MADKID,动漫
青100色-古见同学有交流障碍症第2期OP,伊藤美来,动漫
Thats Hilarious-Charlie Puth,Charlie Puth,流行
爱在西元前-简单版,周杰伦,流行
As It Was-Harry Styles,Harry Styles,流行
Sigue-J Balvin和Ed Sheeran,J Balvin,流行
孤勇者-B调-适中版,陈奕迅,动漫
OveR-约会大作战Ⅳ OP,富田美忧,动漫
迪迦的传说-ティガの伝説-迪迦奥特曼最终圣战OST,矢野立美,影视
给我一首歌的时间-完整好听版,周杰伦,流行
Still Life-春夏秋冬-BIGBANG,BIGBANG,流行
不甘-你让我独自斟满这碗红尘的酒-抖音,小乐哥,流行
喜劇-SPY×FAMILY间谍过家家ED,星野源,动漫
阿瑠的歌-原神-佚落迁忘之岛,陈致逸,轻音乐
富士山下-简单好听版,陈奕迅,流行
如你所想-与君初相识爱情主题曲,毛不易,影视
Pale Blue-离婚活动主题曲,米津玄师,影视
萍聚-好听版,李翊君,流行
Envolver-Anitta,Anitta,流行
Anyone for You Tiger Lily-George Ezra,George Ezra,流行
三行情书-只是我对你的喜欢三行也写不完,蔡文泽,流行
3000万年前からのメッセージ-三千万年前的来信,矢野立美,影视
湮没的忆念-原神-佚落迁忘之岛,陈致逸,轻音乐
花仙子之歌-花の子ルンルン,堀江美都子,儿歌
谷雨-完美版,音阙诗听,流行
太想念-简单版-我对你太想念太想念-抖音,豆包,流行
校园的早晨-简单版,谷建芬,流行
GIRI GIRI-辉夜大小姐想让我告白超级浪漫OP,铃木雅之,动漫
狭径缒幽-原神-佚落迁忘之岛,陈致逸,轻音乐
总以为来日方长-我们不慌不忙总以为来日方长,梅朵,流行
ミックスナッツ-间谍过家家OP,Official髭男dism,动漫
チキチキバンバン-派对咖孔明OP,QUEENDOM,动漫
本草纲目-周杰伦,周杰伦,流行
Letter-任天堂动物森友会CM广告曲,SHE'S,流行
贝多芬第25号钢琴奏鸣曲第三乐章,贝多芬,经典
留什么给你-简单版-爱都是开始得很美丽结束得没道理,孙楠,流行
2step-Ed Sheeran ft Lil Baby,Ed Sheeran,流行
春天奏鸣曲第三乐章,贝多芬,经典
物是人非-原神-佚落迁忘之岛,陈致逸,轻音乐
凸凹-杜鹃的婚约OP,吉冈圣惠,动漫
彼岸花-简单版-问天录主题曲,周深,影视
穿越时空的思念-简单版,和田熏,动漫
Another Love-简单版-Tom Odell,Tom Odell,流行
Over The Rainbow-飞越彩虹-好听版,Harold Arlen,影视
你离开了南京从此没有人和我说话,李志,轻音乐
Up Where We Belong-军官与绅士主题曲,Joe Cocker,影视
不要说话-时尚先生主题曲-陈奕迅,陈奕迅,影视
痛爱-容祖儿,容祖儿,流行
Love Dive-IVE,IVE,流行
摩天动物园-邓紫棋,邓紫棋,流行
宁然一隅-原神-佚落迁忘之岛,陈致逸,轻音乐
突然一场雨-浇透我思绪潮湿的空气让思念漫溢-抖音,蓝心羽,流行
Step on Your Heart,Luna Safari,流行
ジュリエッタ-成为女主角被讨厌的女主角和秘密的工作OP,LIP×LIP,动漫
Thousand Miles-The Kid Laroi,The Kid Laroi,流行
立夏-完美版,音阙诗听,流行
잠 안오는 밤,이지에이지,轻音乐
ゆずれない-盾之勇者成名录第二期ED,藤川千爱,动漫
风云之歌-风云雄霸天下插曲,妙莲华,影视
人间烟火-简单版-人间一场烟火你曾盛开过-抖音,程响,流行
추억속에서,이지에이지,轻音乐
Make Up Life-RPG不动产OP,井上穗乃香,动漫
从前怕-简单版-从前怕你离开我爱的不是我-抖音,于冬然,流行
难忘今宵-简单版,李谷一,流行
石板的绯红恶魔-石畳の緋き悪魔,Sound Horizon,流行
여름 하늘,이지에이지,轻音乐
くもりガラスの向こう-圣母在上第4季ED,引田香织,动漫
好大一棵树,田震,流行
路过-风犬少年的天空插曲,安巍,影视
曲中人-简单版-初闻不知曲中意 再听已是曲中人,安儿陈,流行
Am I That Easy To Forget-罗马假日主题曲,Jim Reeves,影视
みちしるべ-路标-完整版,茅原实里,动漫
故乡-日本童谣,冈野贞一,儿歌
回到金字塔-Back To Pyramids,Paul Mauriat,轻音乐
Loving You-爱着你,이지에이지,轻音乐
Should It Matter-呼啸山庄主题曲,Sissel,影视
弹起我心爱的土琵琶,吕其明,影视
五等分の軌跡-五等分的新娘主题曲,中野家の五つ子,影视
はつ恋-初恋,久石让,影视
四角運命-杜鹃的婚约ED,三月的Phantasia,动漫
그리운 오후,이지에이지,轻音乐
Evergreen-Love Theme from A Star Is Born,Barbra Streisand,影视
晚风作酒-简单版-我独饮晚风作酒叹一生痴情入喉,L（桃籽）,流行
熊猫京京片尾曲,金熊猫,动漫
M八七-新奥特曼主题曲,米津玄师,影视
每当我走过老师窗前-简单版,董希哲,流行
我喜欢你-风犬少年的天空插曲,安巍,影视
Dancing Feet-Kygo和DNCE,Kygo,流行
Hold My Hand-壮志凌云2独行侠主题曲,Lady Gaga,影视
军港之夜-简单版,苏小明,流行
心无所扰-小桃,小桃,流行
Crazy What Love Can Do,David Guetta,流行
POP SONG-ポップソング,米津玄师,流行
人民海军向前进,绿克,流行
念念相忘-钢琴独奏版-夜的钢琴曲Ⅲ,石进,轻音乐
천천히-慢慢地,이지에이지,轻音乐
光さす庭-少女革命OST,光宗信吉,动漫
生分-我们怎么变得那么生分连说话都要掌握好分寸,川青,流行
小满-完美版,音阙诗听,流行
单人券-简单版-我会一直等等故事发生常留一盏灯陪我到夜深,张齐山DanieL,流行
三生三幸-简单版-我希望最初是你后来是你最终也是你,海来阿木,流行
微微-完整版,傅如乔,流行
无名的人-完整版,毛不易,影视
기억해줘-记住我,이지에이지,轻音乐
篇章-简单版-天赐的声音第三季,张韶涵,流行
MELANCHOLY-OMZING,OMZING,轻音乐
爱你-C调简单版,王心凌,流行
彩虹的微笑-简单版-微笑Pasta插曲,王心凌,影视
睫毛弯弯-简单版-王心凌,王心凌,流行
24 7 演奏曲-喜剧之王OST,Cagnet,影视
糖罐子-王心凌,王心凌,流行
Regression-崩坏3印象曲,HOYO-MiX,流行
爱的天国-C调简单版,王心凌,影视
当你-简单版-当你的眼睛眯着笑当你喝可乐当你吵,王心凌,流行
第一次爱的人-简单好听版,王心凌,流行
欠你的婚礼-简单版-我欠你一场婚礼用星光铺满草地,白小白,流行
哆啦A梦-简单版-ドラえもん-哆啦A梦配乐,菊池俊辅,动漫
Late Night Talking-Harry Styles,Harry Styles,流行
Matilda-Harry Styles,Harry Styles,流行
欠你的婚礼-简单完整版,白小白,流行
夜de模仿曲-原创,lcz_0205,原创
Space Man-太空人-Sam Ryder,Sam Ryder,流行
启程-简单版-就在启程的时刻让我为你唱首歌,水木年华,流行
妈妈的话-童年的梦境可笑的就像是乌云隐藏着,Zyboy忠宇,流行
浮光 The History-Jannik,Jannik,轻音乐
About Damn Time-Lizzo,Lizzo,流行
堕-简单版-她是踏碎星河落入我梦境的幻想,Zyboy忠宇,流行
Labyrinth of Eden-伊甸园迷宫,久石让,轻音乐
莫失莫忘-好听版,麦振鸿,影视
我不愿让你一个人-简单完整版-五月天,五月天,流行
ねこみみスイッチ-猫耳开关,初音未来,流行
西班牙狂欢日,梅洛迪·伯贝尔,轻音乐
Complete Mess-5 Seconds of Summer,5 Seconds of Summer,流行
阿尔法核弹BGM,Ajoura,轻音乐
芒种-完美版,音阙诗听,流行
In the Stars-Benson Boone,Benson Boone,流行
堇-相合之物OP,坂本真绫,动漫
温柔-原调简单版-五月天,五月天,流行
梦华-梦华录OP,摩登兄弟刘宇宁,影视
我会好好的-不要说你爱我你想我如果你的心里没有这么做,王心凌,流行
看得最远的地方,张韶涵,流行
そして-恶魔高中DxD BorN OST,中西亮辅,动漫
不惜时光-梦华录ED,张靓颖,影视
Dance For Me Wallis-倾国之恋OST,Abel Korzeniowski,影视
吻得太逼真-张敬轩,张敬轩,流行
罗曼蒂克的爱情-我最亲爱的你听耳边旋律响起,贺敬轩,流行
活动-结婚-天下3游戏原声,曾冠宇,轻音乐
Running Up That Hill-简单完整版,Kate Bush,流行
レンズ-镜头-持续可能的恋爱 父亲与女儿的结婚进行曲主题曲,幾田りら,影视
唱哈利路亚-第20首,未知,流行
如果当时-许嵩,许嵩,流行
你要快乐-时代少年团,时代少年团,流行
新不了情-伴奏谱,万芳,影视
All Too Well-Taylor Swift,Taylor Swift,流行
Yet to Come The Most Beautiful Moment-防弹少年团,防弹少年团,流行
叶子-蔷薇之恋ED,阿桑,影视
Permission to Dance-防弹少年团,防弹少年团,流行
Escape-新娘未满Escape片尾曲,FANTASTICS from EXILE TRIBE,影视
可-薛之谦和张靓颖,薛之谦,流行
多余的解释-为何会是多余的-简单版,许嵩,流行
夏至-完美版,音阙诗听,流行
心愿-完美版-那些我爱的人那些离逝的风,王泽,流行
凤凰花开的路口-时光的河入海流终于我们分头走-毕业歌曲,林志炫,流行
Glimpse of Us-Joji,Joji,流行
Shreveport Stomp-Jelly Roll Morton,Jelly Roll Morton,轻音乐
被驯服的象-简单版-蔡健雅,蔡健雅,流行
达尔文-蔡健雅,蔡健雅,流行
断桥遗梦,赵季平,流行
我们是共产主义接班人-伴奏谱,寄明,儿歌
我是夜里的孤独-简单完整版-我是夜里的孤独也是白天的无助,大美,流行
Vision-幻影-Tom Barabas,Tom Barabas,轻音乐
The Entertainer-骗中骗,Scott Joplin,影视
我走后-简单完整版-我走了你别再难过心里有话都不想再说,小咪,流行
祖国祖国我们爱你,潘振声,儿歌
ロオド ラスト-爱上火车 Last Run OP,中恵光城,流行
鼓浪屿之波,钟立民,流行
Left and Right,Charlie Puth,流行
Save Yourself-One Ok Rock,One Ok Rock,流行
The Girl from Ipanema-依帕内玛女孩,Antonio Carlos Jobim,流行
Somebody Like U,Alan Walker,流行
等不来花开-简单版-我们的爱就像秋叶等不到花开,pro,流行
Where Have All The Flowers Gone-花儿都到哪里去了,Pete Seeger,经典
哭泣的月亮-Vang Trang Khoc-越南冠军歌曲,阮文钟,流行
威风堂堂进行曲C大调第五进行曲-Pomp and Circumstance,Edward Elgar,经典
Break My Soul-Beyonce,Beyoncé,流行
The SCP Foundation Main Theme,Ajoura,轻音乐
Bang Bang-小黄人大眼萌神偷奶爸前传插曲,邓紫棋,影视
小城夏天-简单完整版-橘黄色的日落吞没在海平线,LBI利比,流行
义勇军进行曲-弹唱版,聂耳,动漫
阿西达卡战记-アシタカせっ記-简单版,久石让,动漫
枫叶繁拍曲-Maple Leaf Rag,Scott Joplin,经典
圣托里尼-Santorini-雅尼,雅尼,经典
最伟大的作品-周杰伦,周杰伦,流行
最伟大的作品-前奏,周杰伦,流行
小暑-完美版,音阙诗听,流行
Melancholy-SCP秘密实验室BGM,Jacek Fragik Rogal,轻音乐
再见莫妮卡-咖啡不断加加加加到厌倦-抖音,彭席彦,流行
白龙-兰音Reine,兰音Reine,流行
Maybe You Are the Problem-Ava Max,Ava Max,流行
Plastic Cake Walk-造型步态舞-David Hellewell,David Hellewell,轻音乐
Sharks-Imagine Dragons,Imagine Dragons,流行
克拉莫练习曲 No 35,克拉莫,经典
妈妈我爱你-歌声送给你-简单完整版,李昕融,流行
她来听我的演唱会,张学友,流行
ALIVE-Lycoris Recoil OP,ClariS,动漫
新布鲁斯-钢琴考级7级曲目,未知,轻音乐
还在流浪-周杰伦,周杰伦,流行
红颜如霜-周杰伦,周杰伦,流行
シャル ウィ ダンス-影宅第2期OP,ReoNa,动漫
必杀技-古巨基,古巨基,流行
错过的烟火-周杰伦,周杰伦,流行
Empty Love-Lulleaux ft Kid Princess,Lulleaux,流行
倒影-周杰伦,周杰伦,流行
粉色海洋-周杰伦,周杰伦,流行
The Final Flash of Existence-SCP秘密实验室BGM,Jacek Fragik Rogal,轻音乐
花の塔-Lycoris Recoil ED,さユり,动漫
以爱为囚-凤凰传奇版,凤凰传奇,流行
悲怆奏鸣曲第二乐章,贝多芬,经典
唱给你一支歌,贾堂霞,流行
駆け引きはポーカーフェイス-就算这样步还是靠了过来OP,花泽香菜,动漫
外婆桥-简单版-摇啊摇春风摇过雨露就是外婆桥,旺仔小乔,流行
六首保加利亚节奏舞曲-第四首,巴托克,经典
Dance In The Game-欢迎来到实力至上主义的教室第二季OP,ZAQ,动漫
回梦游仙-好听版,骆集益,轻音乐
一样的月光-怎么看得我越来越心慌-徐佳莹,徐佳莹,流行
Forever Young,陶喆,流行
Hug Me-蔡徐坤,蔡徐坤,流行
Green Green Grass-George Ezra,George Ezra,流行
肖邦练习曲 Op 10 No 8-F大调练习曲,肖邦,经典
绝配-时代少年团,时代少年团,流行
人生大事-同名电影主题曲,朱一龙,影视
Komorebi-完美好听版,m-taku,轻音乐
One-RF Online主题曲,李秀英,流行
People of The North Pole-最终幻想Ⅹ,植松伸夫,轻音乐
Snow×Connect-PURE×CONNECT-ピュア×コネクト,霜月遥,流行
TV-Billie Eilish,Billie Eilish,流行
帕格尼尼随想曲第一首,帕格尼尼,经典
デザイアドライブ-欲望加速-东方神灵庙Ten Desires 4面主题曲,ZUN,轻音乐
F大调浪漫曲-贝多芬,贝多芬,经典
Upupu-抖音洗脑神曲,小皮皮爱习题,流行
在你的身边-简单版-我以为忘了想念而面对夕阳希望你回到今天,盛哲,流行
Everything Goes On-英雄联盟星之守护者2022主题曲,Porter Robinson,流行
Glitter-杜鹃的婚约OP,sumika,动漫
Shadow of the Sun-Max Elto,Max Elto,流行
对你说-简单版-你也会爱上一个人付出很多很多,半吨兄弟,流行
卡农-四手联弹版,帕赫贝尔,经典
Dance Monkey-钢琴版,Tones and I,流行
HOLLOW HUNGER-Overlord第四季OP,OxT,动漫
Ending Theme-最终幻想Ⅹ,植松伸夫,轻音乐
鹊桥仙-七夕快乐,秦观,原创
Triage at Dawn-半条命2背景音乐,Kelly Bailey,轻音乐
消えない想い-Fate Grand Order OST,芳贺敬太,轻音乐
哭泣的游戏-时代少年团,时代少年团,流行
WE WILL-Love Live Superstar第二季OP,Liella!,动漫
優しさは風のように-温柔如风-独占我的英雄OST,妹尾武,动漫
Do You-李闰珉,李闰珉,轻音乐
恋愛脳-恋爱脑-契约之吻ED,ナナヲアカリ,动漫
千年泪-天外飞仙ED-经典古风,Tank,影视
View of Silence-久石让,久石让,轻音乐
落在生命里的光-你是落在我世界里的一束光向我奔来万物都生长,尹昔眠,流行
侠-时代少年团,时代少年团,流行
Silencio de Parc Guell-圭尔公园的安静,久石让,轻音乐
给你一瓶魔法药水-宇宙的有趣我才不在意-抖音,告五人,流行
寻一个你-简单版-苍兰诀插曲,摩登兄弟刘宇宁,影视
落叶与秋-简单版-一声落叶一声秋跨越万物的邂逅,刘烁七,流行
听说你-听说你轻描淡写安慰她说从来没爱过我,于冬然,流行
月まで届け不死の煙-東方永夜抄,ZUN,轻音乐
爱都爱了-简单版-我们爱都爱了还怕什么爱着爱着过完余生,MC小洲,流行
带我去找夜生活-简单版-如果你还没有睡如果我还不停追,告五人,影视
记录你所给我的一切-断桥推广曲,王俊凯,影视
雨雲-你所期望的永远OST,渡来亚人,轻音乐
木々の声と日々のざわめき-Kanon OST,折户伸治,轻音乐
GLORIA-邓紫棋,邓紫棋,流行
后来的你在哪-替谁挡着风牵着谁的手陪在谁左右,树泽,流行
不是你不行-非你不可-灰姑娘的姐姐OST,艺声,影视
こころに響く恋ほたる-天津罪OP,桥本美雪,流行
追いかける夢の先で-Love Live Superstar第二季ED,Liella!,动漫
腐り姫の伝説-腐姬BGM,椎名治美,轻音乐
NUNA-队长,队长,流行
少女さとり 3rd eye-东方地灵殿第四关头目战,ZUN,轻音乐
吟-简单版-流星划破天际银河流入海底你会在哪里,刘美麟,流行
淡き心象を抱き締めて-从晴朗的朝色泛起之际开始BGM,樋口秀树,轻音乐
会长大的幸福-Tank,Tank,流行
诀爱-苍兰诀OP,詹雯婷,影视
Pink Venom-Blackpink,Blackpink,流行
ひとりぼっちの運命-孤独的命运-家庭教师HITMAN REBORN角色歌,近藤隆,动漫
克罗地亚狂想曲-原神风物之诗琴谱-原琴谱,马克西姆,原神-风物之诗琴谱
平凡日子里的挣扎-原调简单版-我们都在平凡日子里拼命挣扎,曾抖抖,流行
汝南-简单版-我寻你寻不到归期 我梦里梦你的眼睛,乔佳旭,流行
5分前の恋心-克洛的时钟OP,桥本美雪,流行
あなたへの詩-Prima Stella,佐藤纯一,轻音乐
Space Song-Beach House,Beach House,流行
お前の大事な連中ならいるだろ お前の中に-银魂OST,Audio Highs,动漫
新年好-四手联弹版,未知,儿歌
アオイトリ-青鸟OP,桥本美雪,流行
也许是天意-赵海洋,赵海洋,轻音乐
Hold Me Closer-2022年欧洲歌唱大赛,Cornelia Jakobs,流行
早该-早该珍惜成熟的你 早该擦去你的泪滴,姚六一,流行
吟鱼落尽-唯美纯音乐,smile丶轩,轻音乐
Hold Me Closer-Elton John与Britney Spears,Elton John,流行
沙雕之歌,沙雕少年可乐君,流行
星船启航,小希,流行
长大成人-简单版-后来他和陌生的人同床和枕边的人说谎,范茹,流行
Adventure of a Lifetime-Coldplay,Coldplay,流行
クフフのフ 僕と契約-家庭教师HITMAN REBORN六道骸角色歌,饭田利信,动漫
后来我们的爱-后来我们的爱从认真变得敷衍,陆杰awr,流行
Sweden-Minecraft-我的世界BGM,C418,轻音乐
婚礼的祝福-陈奕迅,陈奕迅,流行
你不是第一个离开的人-邓紫棋,邓紫棋,流行
Je Te Laisserai Des Mots-Patrick Watson,Patrick Watson,流行
诗画中国-诗画中国节目主题曲,许嵩,流行
尘-薛之谦,薛之谦,流行
Fallen Down Reprise-坠落重奏版-Undertale-传说之下BGM,Toby Fox,轻音乐
ダイアンの気持ち-七夜的许愿星基拉祈OST,宫崎慎二,影视
白金Disco-白金迪斯科-白金ディスコ-简单完整版,井口裕香,动漫
给自已的情书-笑忘书,王菲,流行
唯一-完整版,告五人,流行
2 Be Loved Am I Ready-Lizzo,Lizzo,流行
Me Myself and I-5 Seconds of Summer,5 Seconds of Summer,流行
夏日大三角-夏の大三角-夏之大三角,ryo,轻音乐
Snap-2022年欧洲歌唱大赛,Rosa Linn,流行
最后一堂课-妈别闹了ED,周兴哲,影视
水辺に映る白い鳥-水边倒映的白鸟-White Bird Reflected on the Waterside,Ciela,轻音乐
夜の子供たち-夜晚的孩子们,叶月由罗,流行
Calm Down-Rema,Rema,流行
老人与海-简单完整版-邓紫棋,邓紫棋,流行
Solas-Jamie Duffy,Jamie Duffy,轻音乐
情难枕-戏说乾隆ED-痴心换情深,林慧萍,影视
最后的挣扎-卡缪拉主题曲-カミューラのテーマ-游戏王超燃组曲,蓑部雄崇,动漫
Hot In It-Tiësto ft Charli XCX,Tiësto,流行
INFINITE SKY-苍之彼方的四重奏插曲,KOTOKO,流行
耀司と千晶のテーマ-恋旅 True Tours Nanto插曲,松田彬人,动漫
满目星辰皆是你-简单完整版-我想说世间万物一切都不及你,LKer林柯,流行
Despechá-Rosalía,Rosalía,流行
まるかいて地球-英国版-画个圆圆的地球,杉山纪彰,动漫
是你-简单完整版-是你是你身后的青春都是你,梦然,流行
心傷-こころきず-铭日记BGM,甘茶の音乐工房,轻音乐
まるかいて地球-中国版-画个圆圆的地球,甲斐田幸,动漫
Wings of Courage -空を超えて-苍之彼方的四重奏OP,川田真美,流行
我还记得那天-苍兰诀插曲,沈以诚,影视
Forget Me-Lewis Capaldi,Lewis Capaldi,流行
浪漫血液-伴奏谱-我的爱蝴蝶夫人中文片头曲,林俊杰,影视
纽约的司机驾着北京的梦-张学友,张学友,流行
Shut Down-Blackpink,Blackpink,流行
遗失的心跳-完美独奏版-萧亚轩,萧亚轩,流行
我用什么把你留住-福禄寿FloruitShow,福禄寿FloruitShow,流行
Raspberry Cube-树莓立方体OP,松下,流行
まるかいて地球-意大利版-画个圆圆的地球,浪川大辅,动漫
借月-就借这月光再与你对望-抖音,王天阳,流行
よふかしのうた-彻夜之歌ED,Creepy Nuts,动漫
天下有情人-简单版-神话情话,周华健,流行
无数-薛之谦,薛之谦,流行
Test Drive-驯龙高手OST,John Powell,影视
爱上你是一个错-简单完整版,杨培安,流行
化风行万里-简单完整版-我化风行万里越过大海找寻你,大欢,流行
公主游戏,黎歌Neeko,流行
Tico-Tico no Fubá-雀鸟嘀咕-Zequinha de Abreu,Zequinha de Abreu,经典
普通DISCO-羊了个羊BGM,ilem,流行
水丽舞-水の舞曲-西村由纪江,西村由纪江,轻音乐
共感されなくてもいいじゃない-因为是反派大小姐所以养了魔王OP,高桥李依,动漫
花之舞-大调-Flower Dance-花舞,DJ OKAWARI,轻音乐
羊了个羊第二关BGM,羊了个羊,轻音乐
你打我撒你打我撒-你这背景太假了的魔性BGM,太乙真人,网络热门
人间总有一两风-扰我十万八千梦-简单完整版,李蕊儿,流行
片片相思赋予谁-简单完整版-我在江南君在北 一片痴情空与对,晓依,流行
改革春风吹满地-念诗之王,小可儿,流行
佳人伴孤灯-春思-两宫皇太后插曲,陈受谦,影视
Touch You-无节操Bitch社主题曲,ゆよゆっぺ,动漫
Celestial-Ed Sheeran-宝可梦朱紫,Ed Sheeran,流行
小城画师-简单完整版-红尘客七七八 黄鹂叽叽喳,李小贝,流行
秋恋-至美音乐,祁隆,流行
君が想い出になる前に-在你成为回忆之前,西村由纪江,轻音乐
Hayya Hayya Better Together-2022年国际足联世界杯主题曲,Trinidad Cardona,流行
Unholy-Sam Smith ft Kim Petras,Sam Smith,流行
爱似水仙-金海心,金海心,流行
世界第一等-黑金主题曲,刘德华,影视
Heartbeat-鳄鱼莱莱OST,Shawn Mendes,影视
Star Walkin-2022英雄联盟全球总决赛主题曲,Lil Nas X,流行
Unreal Creation-哈密达斯创意OP,樱川惠,流行
花女-花譜-花谱,花譜,流行
我是你的格桑花,王琪,流行
Charlie Be Quiet-Charlie Puth,Charlie Puth,流行
Golden Hour-JVKE,JVKE,流行
KICK BACK-链锯人OP,米津玄师,动漫
半山听雨-唯美古琴曲,杨青,轻音乐
Versace On The Floor-唯美纯音乐,夏蝶,轻音乐
SOUVENIR-间谍过家家OP,BUMP OF CHICKEN,动漫
打开心扉-敞开心扉-扉をあけよう,西村由纪江,轻音乐
裹着心的光-林俊杰,林俊杰,流行
未言君名-你仍不知道那个夏天我为何没有说出你的名字,十指流玉,轻音乐
G大调埃科塞斯舞曲,贝多芬,经典
我怎么哭了-林淑容,林淑容,流行
羊了个羊BGM-抖音片段-普通DISCO,ilem,网络热门
銀の龍の背に乗って-骑在银龙的背上-五岛医生诊疗所主题曲,中岛美雪,影视
Counter Attack-Mankind 进击的巨人中一首好听的BGM-片段曲,泽野弘之,动漫
你别像风一样-我求你别像风一样来了来了又走,苏星婕,流行
号手小夜曲,弗里兹·斯宾德勒,经典
倶に-PICU 儿童重症监护室主题曲,中岛美雪,影视
难却-简单完整版-待上浓妆好戏开场 台上悲欢皆我独吟唱,平生不晚,流行
时代-時代-中岛美雪,中岛美雪,流行
快乐的猎人-Frohlicher Jagersmann,Gustav Adolf Merkel,经典
明天会更好-完美弹唱版,罗大佑,流行
马戏团-第1关和第4关背景音乐-巡逻兵进行曲,米查姆,其他
Mistério-BCD Studio-搞笑视频常用背景音乐,BCD Studio,网络热门
铃芽-すずめ-铃芽之旅主题曲,十明,影视
こころのたまご-心灵之蛋-守护甜心OP,Buono!,动漫
七里香-完整好听版,周杰伦,流行
缺氧-简单完整版-就是这样爱你请别有所怀疑,安苏羽,流行
骗子-简单版-你说人这东西可信不可信 骗子脸上又不会写字,戴羽彤,流行
不值得-完美弹唱版-单依纯,单依纯,流行
谁会被吻-天气说变冷就变冷-简单版,陆政廷Lil Jet,流行
残機-链锯人ED,ずっと真夜中でいいのに。,动漫
E大调前奏曲,巴赫,经典
卡门-哈巴涅拉舞曲-好听较完美版-爱情是一只自由的鸟儿,乔治·比才,经典
如果突然想起我-原神游戏2022生日会同人曲,喵酱油,流行
与你到永久-伍佰,伍佰,流行
别念 Do not miss 一首治愈心灵的钢琴曲,Funton,轻音乐
A Dream Is a Wish Your Heart Makes-Disney迪士尼伴你入睡,Lily James,影视
